"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27699","Login Test with JSON Data: Invalid login @datadriven","chromium","Thu May 29 18:59:10 EDT 2025","passed","Thu May 29 18:59:37 EDT 2025","","LoginDataDriven.spec.ts","",""
"","17912","User registration test @master @sanity @regression","chromium","Tue Jun 03 15:49:16 EDT 2025","passed","Tue Jun 03 15:49:34 EDT 2025","","AccountRegistration.spec.ts","",""
"","8761","User logout test @master @regression","chromium","Sun Jun 01 14:09:00 EDT 2025","passed","Sun Jun 01 14:09:09 EDT 2025","","Logout.spec.ts","",""
"","20200","Login Test with CSV Data: Invalid login @datadriven","chromium","Thu May 29 19:00:31 EDT 2025","passed","Thu May 29 19:00:51 EDT 2025","","LoginDataDriven.spec.ts","",""
"","11373","User registration test","chromium","Thu May 29 12:58:38 EDT 2025","passed","Thu May 29 12:58:50 EDT 2025","","AccountRegistration.spec.ts","",""
"","4940","Product search test @master @regression","chromium","Sun Jun 01 14:09:01 EDT 2025","passed","Sun Jun 01 14:09:06 EDT 2025","","SearchProduct.spec.ts","",""
"","13728","User login test @master @sanity @regression","chromium","Tue Jun 03 15:49:15 EDT 2025","passed","Tue Jun 03 15:49:29 EDT 2025","","Login.spec.ts","",""
"","3249","has title","chromium","Thu May 29 14:46:52 EDT 2025","passed","Thu May 29 14:46:55 EDT 2025","","example.spec.ts","",""
"","27610","Login Test with JSON Data: Valid login @datadriven","chromium","Thu May 29 18:58:42 EDT 2025","passed","Thu May 29 18:59:09 EDT 2025","","LoginDataDriven.spec.ts","",""
"","5735","Add product to cart test @master @regression","chromium","Sun Jun 01 14:08:49 EDT 2025","passed","Sun Jun 01 14:08:55 EDT 2025","","AddToCart.spec.ts","",""
"","19425","Login Test with CSV Data: Valid login @datadriven","chromium","Thu May 29 19:00:11 EDT 2025","passed","Thu May 29 19:00:30 EDT 2025","","LoginDataDriven.spec.ts","",""
"","2940","get started link","chromium","Thu May 29 14:46:55 EDT 2025","passed","Thu May 29 14:46:58 EDT 2025","","example.spec.ts","",""
